date_time,magnitude,depth,latitude,longitude,sig,tsunami
5/30/1998 6:22,6.6,33,37.106,70.11,670,0
7/16/1998 11:56,7,110.2,-11.04,166.16,754,0
7/17/1998 8:49,7,10,-2.961,141.926,754,0
7/29/1998 18:00,6.7,33,-2.693,138.901,691,0
8/4/1998 18:59,7.2,33,-0.593,-80.393,798,0
9/2/1998 8:37,6.8,50,5.41,126.764,711,0
9/3/1998 17:37,6.6,27,-29.45,-71.715,670,0
9/28/1998 13:34,6.6,151.6,-8.194,112.413,670,0
11/9/1998 5:30,6.7,33,-6.954,129.022,691,0
11/9/1998 5:38,7,33,-6.92,128.946,754,0
11/29/1998 14:10,7.7,33,-2.071,124.891,912,0
12/27/1998 0:38,6.8,144.3,-21.632,-176.376,711,0
1/19/1999 3:35,7,114.1,-4.596,153.235,754,0
1/28/1999 8:10,6.6,67.2,52.886,-169.123,670,0
2/6/1999 21:47,7.3,90.1,-12.853,166.697,820,0
3/4/1999 5:38,6.6,33,28.343,57.193,670,0
3/4/1999 8:52,7.1,33,5.397,121.937,776,0
3/8/1999 12:25,6.9,56.6,52.056,159.52,732,0
3/20/1999 10:47,6.9,33,51.587,-177.668,732,0
3/28/1999 19:05,6.6,15,30.512,79.403,670,0
4/3/1999 6:17,6.8,87.2,-16.66,-72.662,711,0
4/5/1999 11:08,7.4,150,-5.591,149.568,842,0
4/13/1999 10:38,6.8,164.2,-21.422,-176.46,711,0
5/10/1999 20:33,7.1,138,-5.159,150.88,776,0
5/16/1999 0:51,7.1,73.7,-4.751,152.486,776,0
5/17/1999 10:07,6.6,27,-5.165,152.877,670,0
6/15/1999 20:42,7,70,18.386,-97.436,754,0
7/11/1999 14:14,6.7,10,15.782,-88.33,691,0
8/17/1999 0:01,7.6,17,40.748,29.864,889,0
8/20/1999 10:02,6.9,20,9.044,-84.159,732,0
8/22/1999 12:40,6.6,33,-16.117,168.039,670,0
9/20/1999 17:47,7.7,33,23.772,120.982,912,0
9/25/1999 23:52,6.5,17,23.738,121.158,650,0
9/30/1999 16:31,7.5,60.6,16.059,-96.931,865,0
10/16/1999 9:46,7.1,13.73,34.6033,-116.265,1576,0
11/8/1999 16:45,6.5,228.4,36.522,71.24,650,0
11/12/1999 16:57,7.2,10,40.758,31.161,798,0
11/17/1999 3:27,6.9,47.5,-5.978,148.82,732,0
11/19/1999 13:56,7,33,-6.351,148.763,754,0
11/26/1999 13:21,7.5,33,-16.423,168.214,865,0
11/30/1999 4:01,6.6,128.1,-18.901,-69.171,670,0
12/6/1999 23:12,7,43.6,57.3424,-154.347,754,0
12/11/1999 18:03,7.3,33,15.766,119.74,820,0
12/21/1999 14:14,6.5,56,-6.845,105.555,650,0
